icao,name
CFH,Care Flight
CFI,Flight Inspection Center of the General Administration of Civil Aviation in China
CFJ,Fujian Airlines
CFL,Swedish Airlines
CFM,ACEF
CFN,Church Fenton Flying Training Unit
CFP,Compania de Aviacion Faucett
CFR,Africa One
CFS,Empire Airlines
CFT,Jet Freighters
CFU,United Kingdom Civil Aviation Authority
CFV,Aero Calafia
CFZ,Zhongfei General Aviation
CGA,Congressional Air
CGB,Air Cargo Belize
CGC,Cal Gulf Aviation
CGD,Charlotte Air National Guard
CGE,Nelson Aviation College
CGG,Walmart Aviation
CGH,Guizhou Airlines
CGI,Rusair JSAC
CGK,Click Airways
CGL,Seagle Air
CGM,Cargoman
CGN,Changan Airlines
CGO,Chicago Air
CGP,Cargo Plus Aviation
CGR,Compagnia Generale Ripreseaeree
CGS,Centre of Applied Geodynamica
CGU,Chinguetti Airlines
CGV,Aero Clube Do Algarve
CGW,Air Great Wall
CGX,United States Coast Guard Auxiliary
CGY,Corporacion Paraguaya De Aeronautica
CHA,Central Flying Service
CHB,West Air China
CHC,China Ocean Helicopter Corporation
CHD,223 Flight Unit State Airline
CHE,Top Flight Air Service
CHF,Chitaavia
CHG,AC Challenge Aero
CHH,Hainan Airlines
CHI,Cougar Helicopters
CHJ,Aircompany Chaika
CHK,Chalk's Ocean Airways
CHL,Cohlmia Aviation
CHM,Chemech Aviation
CHN,Channel Island Aviation
CHO,Chrome Air Services
CHP,Consorcio Aviaxsa
CHQ,Chautauqua Airlines
CHR,Air Charter Services
CHS,Challenge Aviation
CHU,Church Aircraft
CHV,Air Charter Professionals
CHW,Charter Air
CHZ,Cherline
CIA,Civil Aviation Authority
CIB,Condor
CIC,ICC Canada
CID,Asia Continental Airlines
CIE,Czech Government Flying Service
CIF,CB Airways UK ( Interliging Flights )
CIG,Sirius-Aero
CII,Cityfly
CIK,Country International Airlines
CIL,Cecil Aviation
CIM,Cimber Air
CIO,Il Ciocco International Travel Service
CIP,City-Air Germany
CIR,Arctic Circle Air Service
CIU,Cielos Airlines
CIV,Civil Aviation Authority of New Zealand
CIW,Civair Airways
CIX,City Connexion Airlines
CJA,CanJet
CJC,Colgan Air
CJE,Aeroservices Corporate
CJG,Zhejiang Airlines
CJI,Corporate Jets
CJR,Caverton Helicopters
CJS,Commonwealth Jet Service
CJT,Cargojet Airways
CKA,Cook Inlet Aviation
CKC,CKC Services
CKE,Corporate Aviation Services
CKK,China Cargo Airlines
CKL,Aviation Charter Services
CKM,BKS Air (Rivaflecha)
CKR,Crown Air Systems
CKS,Kalitta Air
CLA,Comlux Aviation
